step,wall_time,value
0,1749508832.3206203,11.020000457763672
1,1749508832.3206203,29.850000381469727
2,1749508832.3206203,72.58000183105469
3,1749508832.3206203,70.6500015258789
4,1749508832.3206203,72.16000366210938
5,1749508832.3206203,72.8499984741211
6,1749508832.3206203,68.87999725341797
7,1749508832.3206203,73.3499984741211
8,1749508832.3206203,74.19000244140625
9,1749508832.3206203,68.63999938964844
10,1749508832.3206203,72.5
11,1749508832.3206203,71.83999633789062
12,1749508832.3206203,74.4000015258789
13,1749508832.3206203,73.26000213623047
14,1749508832.3206203,69.29000091552734
15,1749508832.3206203,73.91999816894531
16,1749508832.3206203,71.8499984741211
17,1749508832.3206203,72.69999694824219
18,1749508832.3206203,72.12000274658203
19,1749508832.3363047,71.55999755859375
20,1749508832.3363047,72.63999938964844
