step,wall_time,value
0,1749447819.6727216,9.5600004196167
1,1749447819.6727216,29.18000030517578
2,1749447819.6727216,70.98999786376953
3,1749447819.6727216,81.6500015258789
4,1749447819.6727216,79.55000305175781
5,1749447819.6727216,78.2699966430664
6,1749447819.6727216,78.69000244140625
7,1749447819.6727216,78.45999908447266
8,1749447819.6727216,78.62000274658203
9,1749447819.6727216,76.76000213623047
10,1749447819.6727216,76.83999633789062
11,1749447819.6727216,77.5
12,1749447819.6727216,77.20999908447266
13,1749447819.6737285,76.87999725341797
14,1749447819.6737285,76.38999938964844
15,1749447819.6737285,76.29000091552734
16,1749447819.674734,76.76000213623047
17,1749447819.674734,76.5999984741211
18,1749447819.674734,75.81999969482422
19,1749447819.675736,76.45999908447266
20,1749447819.675736,76.58000183105469
