step,wall_time,value
0,1749585730.2551005,2.325577974319458
1,1749585730.2560992,0.8481725454330444
2,1749585730.2560992,0.4044407904148102
3,1749585730.2560992,0.4345960319042206
4,1749585730.2560992,0.4265930950641632
5,1749585730.2571003,0.5089333653450012
6,1749585730.2571003,0.44254088401794434
7,1749585730.2571003,0.47001251578330994
8,1749585730.2571003,0.4492405951023102
9,1749585730.2571003,0.47510263323783875
10,1749585730.2581005,0.4752902686595917
11,1749585730.2581005,0.45771393179893494
12,1749585730.2581005,0.4486829936504364
13,1749585730.2581005,0.46039506793022156
14,1749585730.2581005,0.492649108171463
15,1749585730.2581005,0.4614628553390503
16,1749585730.2591703,0.4494486153125763
17,1749585730.2591703,0.4368545114994049
18,1749585730.2591703,0.44859564304351807
19,1749585730.260176,0.4814629554748535
20,1749585730.260176,0.4514144957065582
