step,wall_time,value
1,1749585730.2516274,84.81725454330444
2,1749585730.2516274,40.44407904148102
3,1749585730.2520895,43.45960319042206
4,1749585730.2520895,42.65930950641632
5,1749585730.2520895,50.89333653450012
6,1749585730.2520895,44.254088401794434
7,1749585730.2531009,47.001251578330994
8,1749585730.2531009,44.92405951023102
9,1749585730.2531009,47.510263323783875
10,1749585730.2531009,47.52902686595917
11,1749585730.2531009,45.771393179893494
12,1749585730.2541003,44.86829936504364
13,1749585730.2541003,46.039506793022156
14,1749585730.2541003,49.2649108171463
15,1749585730.2541003,46.14628553390503
16,1749585730.2541003,44.94486153125763
17,1749585730.2551005,43.68545114994049
18,1749585730.2551005,44.85956430435181
19,1749585730.2551005,48.14629554748535
20,1749585730.2551005,45.14144957065582
