step,wall_time,value
0,1749492728.9450238,10.930000305175781
1,1749492728.9450238,58.779998779296875
2,1749492728.9450238,81.33999633789062
3,1749492728.9450238,83.62000274658203
4,1749492728.9450238,80.87000274658203
5,1749492728.9450238,80.08999633789062
6,1749492728.9450238,81.91000366210938
7,1749492728.9450238,83.70999908447266
8,1749492728.9450238,79.69999694824219
9,1749492728.9450238,82.0199966430664
10,1749492728.9450238,81.56999969482422
11,1749492728.9450238,81.5999984741211
12,1749492728.9450238,82.45999908447266
13,1749492728.9450238,83.04000091552734
14,1749492728.9450238,82.22000122070312
15,1749492728.9450238,81.01000213623047
16,1749492728.9450238,80.69999694824219
17,1749492728.9450238,82.70999908447266
18,1749492728.9450238,80.30999755859375
19,1749492728.9606636,76.06999969482422
20,1749492728.9606636,82.02999877929688
