step,wall_time,value
0,1749500854.1258922,10.829999923706055
1,1749500854.1258922,53.189998626708984
2,1749500854.1258922,84.66999816894531
3,1749500854.1258922,82.27999877929688
4,1749500854.1258922,82.30000305175781
5,1749500854.1258922,82.44000244140625
6,1749500854.1258922,82.48999786376953
7,1749500854.1258922,82.72000122070312
8,1749500854.1258922,80.12000274658203
9,1749500854.1258922,78.11000061035156
10,1749500854.1258922,82.31999969482422
11,1749500854.1258922,82.91000366210938
12,1749500854.1258922,81.33999633789062
13,1749500854.1258922,83.56999969482422
14,1749500854.1258922,82.38999938964844
15,1749500854.1258922,83.05999755859375
16,1749500854.1258922,82.08999633789062
17,1749500854.1258922,81.8499984741211
18,1749500854.1258922,81.22000122070312
19,1749500854.1258922,81.18000030517578
20,1749500854.1258922,81.31999969482422
