step,wall_time,value
1,1749500854.1258922,93.00540685653687
2,1749500854.1258922,40.848731994628906
3,1749500854.141434,42.72885024547577
4,1749500854.141434,45.588219165802
5,1749500854.141434,47.694799304008484
6,1749500854.141434,44.116416573524475
7,1749500854.141434,43.67029368877411
8,1749500854.141434,46.59281373023987
9,1749500854.141434,47.05246388912201
10,1749500854.141434,45.219793915748596
11,1749500854.141434,43.46670210361481
12,1749500854.141434,47.082772850990295
13,1749500854.141434,44.034984707832336
14,1749500854.141434,44.117653369903564
15,1749500854.141434,42.94479787349701
16,1749500854.141434,45.2396035194397
17,1749500854.141434,45.673227310180664
18,1749500854.141434,46.482232213020325
19,1749500854.141434,48.0870395898819
20,1749500854.141434,45.381274819374084
