step,wall_time,value
0,1749574703.3738952,10.220000267028809
1,1749574703.3748927,30.290000915527344
2,1749574703.3748927,75.58000183105469
3,1749574703.3749573,74.56999969482422
4,1749574703.3749573,64.51000213623047
5,1749574703.3749573,70.77999877929688
6,1749574703.3749573,70.76000213623047
7,1749574703.3749573,74.16999816894531
8,1749574703.3749573,72.8499984741211
9,1749574703.3749573,70.30999755859375
10,1749574703.3749573,67.20999908447266
11,1749574703.3749573,72.79000091552734
12,1749574703.3749573,69.16000366210938
13,1749574703.3749573,70.33000183105469
14,1749574703.3749573,73.44999694824219
15,1749574703.3749573,73.05999755859375
16,1749574703.3749573,71.19000244140625
17,1749574703.3749573,73.0999984741211
18,1749574703.3749573,69.76000213623047
19,1749574703.3749573,75.43000030517578
20,1749574703.3749573,74.61000061035156
