step,wall_time,value
5,1749568879.35429,14.357949256896973
7,1749568880.287585,10.191402435302734
15,1749568884.002182,2.909210681915283
16,1749568884.468344,2.644216299057007
21,1749568886.7963579,2.209052085876465
22,1749568887.266285,2.2440130710601807
23,1749568887.73247,2.140387535095215
28,1749568890.0399911,1.8478723764419556
30,1749568890.9598458,1.954434871673584
37,1749568894.200159,1.591060757637024
39,1749568895.131197,1.556750774383545
42,1749568896.5332181,1.3627619743347168
49,1749568899.85396,1.118236780166626
51,1749568900.80406,1.1403944492340088
52,1749568901.281941,1.0841925144195557
56,1749568903.196464,1.0202176570892334
66,1749568908.041205,0.8287382125854492
69,1749568909.507078,0.7378741502761841
72,1749568910.987697,0.7831947207450867
78,1749568913.934622,0.6646213531494141
81,1749568915.399512,0.6900722980499268
85,1749568917.375239,0.6307977437973022
89,1749568919.3349671,0.5296776294708252
94,1749568921.8112772,0.5645581483840942
95,1749568922.2951171,0.686474621295929
104,1749568926.746015,0.7508007884025574
106,1749568927.737422,0.7619485259056091
107,1749568928.230355,0.6527775526046753
111,1749568930.2525692,0.5719722509384155
116,1749568932.750166,0.5037471652030945
121,1749568935.210031,0.5256633758544922
127,1749568938.1534138,0.5937722325325012
134,1749568941.6073759,0.48128023743629456
136,1749568942.580322,0.4554944336414337
138,1749568943.5755231,0.44251933693885803
142,1749568945.5538938,0.35091930627822876
145,1749568947.032934,0.478808730840683
146,1749568947.5324118,0.47870856523513794
151,1749568949.983202,0.31588873267173767
156,1749568952.441747,0.4909515678882599
160,1749568954.400268,0.3934239149093628
161,1749568954.896815,0.4509742558002472
167,1749568957.8850071,0.5041079521179199
171,1749568959.830688,0.5696114897727966
175,1749568961.775742,0.48162877559661865
188,1749568968.080391,0.3858821988105774
190,1749568969.050941,0.35029011964797974
194,1749568971.007513,0.2889252305030823
201,1749568974.4889019,0.287872850894928
202,1749568974.986114,0.66689133644104
203,1749568975.492248,0.5905081033706665
211,1749568979.450738,0.4297337830066681
213,1749568980.409496,0.6101381778717041
214,1749568980.8838952,0.5891417264938354
216,1749568981.84691,0.49676838517189026
219,1749568983.33348,0.5555700063705444
221,1749568984.3335109,0.6234511733055115
223,1749568985.423139,0.579296886920929
225,1749568986.526191,0.47106537222862244
227,1749568987.596342,0.5050058960914612
232,1749568990.288667,0.3084140717983246
239,1749568994.011232,0.6715433597564697
252,1749569000.903795,0.33554819226264954
257,1749569003.565057,0.5242853760719299
